  Actual output     Excepected output
21.6533       0   14.14
22.2824       1   22.95
37.6565       2   51.96
28.875       3   12.64
9.27605       4   4.57
39.6982       5   50.08
35.6688       6   52.2
60.8645       7   77.3
23.1301       8   26.06
39.9659       9   40.93
26.8533       10   28.68
21.5332       11   25.18
13.2536       12   19.93
15.2801       13   12.18
40.8348       14   36.35
35.2178       15   47.71
17.0053       16   16.26
40.6169       17   55.83
36.2529       18   39.38
29.0545       19   37.68
15.9388       20   13.52
23.8601       21   33.73
53.0345       22   33.69
30.224       23   33.36
22.7928       24   28.63
29.5563       25   36.45
28.8657       26   39.58
56.3343       27   44.42
41.74       28   41.05
20.4922       29   19.35
47.7651       30   53.58
45.7953       31   52.45
19.2614       32   24.5
60.8645       33   77.3
36.7046       34   53.72
36.6099       35   36.25
32.2009       36   43.38
32.5981       37   37.36
58.4957       38   73.7
24.2887       39   26.97
23.5242       40   44.28
20.0492       41   9.62
56.3343       42   57.03
33.9756       43   37.27
22.8181       44   32.24
10.1232       45   7.68
50.1879       46   61.86
22.1984       47   15.36
30.3094       48   33.72
26.7691       49   29.72
24.7839       50   37.34
32.4194       51   40.15
38.7703       52   55.16
28.566       53   44.21
23.7788       54   33.96
24.2933       55   25.73
27.3901       56   32.72
20.5912       57   25.72
21.6886       58   32.72
36.0497       59   41.54
20.1394       60   12.79
39.3357       61   44.14
17.8991       62   15.05
47.5061       63   49.2
22.4147       64   23.51
47.5061       65   49.2
31.6587       66   44.64
54.9243       67   66.78
54.8186       68   57.6
52.3467       69   81.75
45.0529       70   34.4
23.0078       71   23.52
55.414       72   66.6
18.9795       73   9.01
19.4648       74   29.22
29.3075       75   43.5
12.7526       76   4.9
11.7267       77   10.38
22.1192       78   23.79
23.7567       79   17.95
17.2366       80   30.96
18.4901       81   11.96
45.2887       82   33.4
29.4928       83   37.42
27.8999       84   42.7
53.9722       85   58.52
14.5004       86   9.74
24.2507       87   34.2
45.897       88   52.44
14.3673       89   17.96
34.2492       90   56.06
39.7246       91   47.22
59.6471       92   54.77
46.6064       93   23.35
50.5521       94   62.94
28.1679       95   39.16
55.879       96   61.09
20.6069       97   27.87
34.2033       98   27.68
38.4698       99   56.81
20.1124       100   21.5
29.4398       101   39.36
22.7073       102   24.13
20.7517       103   32.33
18.7348       104   20.73
41.9928       105   55.51
17.5077       106   26.2
22.4129       107   34.68
61.5904       108   76.8
18.608       109   21.54
27.7816       110   30.12
25.0271       111   32.53
25.2959       112   31.9
31.1412       113   33.08
29.1444       114   30.22
32.8018       115   50.95
22.1592       116   15.57
40.4497       117   50.73
49.1503       118   66.95
34.216       119   53.69
35.1684       120   45.08
19.8592       121   29.75
47.8057       122   61.99
54.13       123   47.97
24.4037       124   36.15
37.3903       125   47.71
40.0173       126   39.44
55.1666       127   60.29
31.2545       128   24.4
35.3943       129   43.57
52.5331       130   74.99
46.1034       131   59.76
19.7119       132   29.45
12.6009       133   11.65
13.4687       134   14.6
14.853       135   12.55
29.6377       136   50.77
52.8257       137   62.5
30.4997       138   45.08
25.1736       139   40.23
23.4476       140   11.47
17.6167       141   17.54
42.267       142   38.61
38.9119       143   51.43
15.7943       144   9.45
38.3192       145   39.7
53.0909       146   71.99
24.5658       147   32.9
36.6675       148   37.92
39.6711       149   50.94
